team,name,position,role,active_roster_date,batting_order,contact,power,discipline,speed,stuff,control,stamina,stats_date,rating_source,sample_note
두산 베어스,이병헌,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,잭로그,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,이용찬,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,곽빈,투수,pitcher,2026-07-23,,0,0,0,0,74,65,82,2026-07-23,2026_qualified_pitcher_stats,2026 KBO 규정이닝권 공식 성적 기반
두산 베어스,벤자민,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,박신지,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,이영하,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,김택연,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,최민석,투수,pitcher,2026-07-23,,0,0,0,0,70,58,83,2026-07-23,2026_qualified_pitcher_stats,2026 KBO 규정이닝권 공식 성적 기반
두산 베어스,김한중,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,김기연,포수,batter,2026-07-23,,50,50,50,42,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,양의지,포수,batter,2026-07-23,,50,50,50,42,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,윤준호,포수,batter,2026-07-23,,50,50,50,42,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,이유찬,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,강승호,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,세베리노,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,박지훈,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,박준순,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,안재석,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,박찬호,내야수,batter,2026-07-23,,57,42,54,62,50,50,0,2026-07-23,2026_qualified_hitter_stats,2026 KBO 규정타석권 공식 성적 기반
두산 베어스,김민석,외야수,batter,2026-07-23,,65,48,70,85,50,50,0,2026-07-23,2026_qualified_hitter_stats,2026 KBO 규정타석권 공식 성적 기반
두산 베어스,손아섭,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,정수빈,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,김대한,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,홍성호,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,조수행,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
한화 이글스,이상규,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
한화 이글스,왕옌청,투수,pitcher,2026-07-23,,0,0,0,0,52,41,75,2026-07-23,2026_qualified_pitcher_stats,2026 KBO 규정이닝권 공식 성적 기반
한화 이글스,화이트,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
