game_id,date,away,home,venue,schedule_type
311,2026-06-09,SSG 랜더스,LG 트윈스,잠실,announced_135
312,2026-06-09,NC 다이노스,키움 히어로즈,고척,announced_135
313,2026-06-09,삼성 라이온즈,KT 위즈,수원,announced_135
314,2026-06-09,KIA 타이거즈,한화 이글스,대전,announced_135
315,2026-06-09,두산 베어스,롯데 자이언츠,사직,announced_135
316,2026-06-10,SSG 랜더스,LG 트윈스,잠실,announced_135
317,2026-06-10,NC 다이노스,키움 히어로즈,고척,announced_135
318,2026-06-10,삼성 라이온즈,KT 위즈,수원,announced_135
319,2026-06-10,KIA 타이거즈,한화 이글스,대전,announced_135
320,2026-06-10,두산 베어스,롯데 자이언츠,사직,announced_135
321,2026-06-11,SSG 랜더스,LG 트윈스,잠실,announced_135
322,2026-06-11,NC 다이노스,키움 히어로즈,고척,announced_135
323,2026-06-11,삼성 라이온즈,KT 위즈,수원,announced_135
324,2026-06-11,KIA 타이거즈,한화 이글스,대전,announced_135
325,2026-06-11,두산 베어스,롯데 자이언츠,사직,announced_135
326,2026-06-12,롯데 자이언츠,LG 트윈스,잠실,announced_135
327,2026-06-12,한화 이글스,키움 히어로즈,고척,announced_135
328,2026-06-12,NC 다이노스,KT 위즈,수원,announced_135
329,2026-06-12,SSG 랜더스,삼성 라이온즈,대구,announced_135
330,2026-06-12,두산 베어스,KIA 타이거즈,광주,announced_135
331,2026-06-13,롯데 자이언츠,LG 트윈스,잠실,announced_135
332,2026-06-13,한화 이글스,키움 히어로즈,고척,announced_135
333,2026-06-13,NC 다이노스,KT 위즈,수원,announced_135
334,2026-06-13,SSG 랜더스,삼성 라이온즈,대구,announced_135
335,2026-06-13,두산 베어스,KIA 타이거즈,광주,announced_135
336,2026-06-14,롯데 자이언츠,LG 트윈스,잠실,announced_135
337,2026-06-14,한화 이글스,키움 히어로즈,고척,announced_135
338,2026-06-14,NC 다이노스,KT 위즈,수원,announced_135
339,2026-06-14,SSG 랜더스,삼성 라이온즈,대구,announced_135
340,2026-06-14,두산 베어스,KIA 타이거즈,광주,announced_135
341,2026-06-16,KT 위즈,두산 베어스,잠실,announced_135
342,2026-06-16,롯데 자이언츠,SSG 랜더스,문학,announced_135
343,2026-06-16,키움 히어로즈,삼성 라이온즈,대구,announced_135
344,2026-06-16,LG 트윈스,KIA 타이거즈,광주,announced_135
345,2026-06-16,한화 이글스,NC 다이노스,창원,announced_135
346,2026-06-17,KT 위즈,두산 베어스,잠실,announced_135
347,2026-06-17,롯데 자이언츠,SSG 랜더스,문학,announced_135
348,2026-06-17,키움 히어로즈,삼성 라이온즈,대구,announced_135
349,2026-06-17,LG 트윈스,KIA 타이거즈,광주,announced_135
350,2026-06-17,한화 이글스,NC 다이노스,창원,announced_135
351,2026-06-18,KT 위즈,두산 베어스,잠실,announced_135
352,2026-06-18,롯데 자이언츠,SSG 랜더스,문학,announced_135
353,2026-06-18,키움 히어로즈,삼성 라이온즈,대구,announced_135
354,2026-06-18,LG 트윈스,KIA 타이거즈,광주,announced_135
355,2026-06-18,한화 이글스,NC 다이노스,창원,announced_135
356,2026-06-19,두산 베어스,LG 트윈스,잠실,announced_135
357,2026-06-19,롯데 자이언츠,키움 히어로즈,고척,announced_135
358,2026-06-19,KIA 타이거즈,KT 위즈,수원,announced_135
359,2026-06-19,삼성 라이온즈,한화 이글스,대전,announced_135
360,2026-06-19,SSG 랜더스,NC 다이노스,창원,announced_135
361,2026-06-20,두산 베어스,LG 트윈스,잠실,announced_135
362,2026-06-20,롯데 자이언츠,키움 히어로즈,고척,announced_135
363,2026-06-20,KIA 타이거즈,KT 위즈,수원,announced_135
364,2026-06-20,삼성 라이온즈,한화 이글스,대전,announced_135
365,2026-06-20,SSG 랜더스,NC 다이노스,창원,announced_135
366,2026-06-21,두산 베어스,LG 트윈스,잠실,announced_135
367,2026-06-21,롯데 자이언츠,키움 히어로즈,고척,announced_135
368,2026-06-21,KIA 타이거즈,KT 위즈,수원,announced_135
369,2026-06-21,삼성 라이온즈,한화 이글스,대전,announced_135
370,2026-06-21,SSG 랜더스,NC 다이노스,창원,announced_135
371,2026-06-23,삼성 라이온즈,LG 트윈스,잠실,announced_135
372,2026-06-23,KIA 타이거즈,키움 히어로즈,고척,announced_135
373,2026-06-23,SSG 랜더스,KT 위즈,수원,announced_135
374,2026-06-23,두산 베어스,한화 이글스,대전,announced_135
375,2026-06-23,NC 다이노스,롯데 자이언츠,사직,announced_135
376,2026-06-24,삼성 라이온즈,LG 트윈스,잠실,announced_135
377,2026-06-24,KIA 타이거즈,키움 히어로즈,고척,announced_135
378,2026-06-24,SSG 랜더스,KT 위즈,수원,announced_135
379,2026-06-24,두산 베어스,한화 이글스,대전,announced_135
380,2026-06-24,NC 다이노스,롯데 자이언츠,사직,announced_135
